Order	families	genus	subspeciesname	distribution	latD	logD	UTM corrected
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.314844000000001	24.296372	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	KV51
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.416178000000002	23.757058	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	GE52
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.327489999999997	23.74286	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	GE41
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.201768999999999	24.136289	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	KU49
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.034689999999998	25.94651	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	MU17
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.398429999999998	25.02638	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	LV21
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.150094973000101	25.6464471190001	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	LU79
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.291131752000098	23.959246642	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	GE60
Coleoptera	Buprestidae	Acmaeoderella	Acmaeoderella stepaneki	35.333329999999997	23.9	Mühle, H., Brandl, P. & Niehuis, M,,2000: Catalogus Faunae Graeciae. COLEOPTERA: BUPRESTIDAE.Ausburg; Selbstverlag:	GE61
Heteroptera	Miridae	Alloeotomus	Alloeotomus pericarti	Kriti	NA	NA	krt
Coleoptera	Staphylinidae	Brachygluta	Brachygluta gnosiaca	Kriti	NA	NA	krt
Coleoptera	Staphylinidae	Bythinus	Bythinus creticus	Kriti central local	NA	NA	LU09
Heteroptera	Miridae	Globiceps	Globiceps handlirschi	Kriti	NA	NA	krt
Araneae	Linyphiidae	Lepthyphantes	Lepthyphantes kratochvili	Kriti	NA	NA	krt
Coleoptera	Carabidae	Licinus	Licinus bartoni	Kriti	NA	NA	krt
Heteroptera	Miridae	Orthotylus	Orthotylus creticus	Kriti	NA	NA	krt
Heteroptera	Miridae	Phytocoris	Phytocoris conifer	Kriti	NA	NA	krt
Heteroptera	Miridae	Phytocoris	Phytocoris niger	Kriti	NA	NA	krt
Heteroptera	Miridae	Polymerus	Polymerus hirtulus	Kriti	NA	NA	krt
