subspeciesname	paca	iucn	redlistCategory
Gryllomorpha cretensis	LNT	NT/LC	Data Deficient
Troglophilus spinulosus	LNT	NT/LC	Least Concern
Eupholidoptera latens	LNT	NT/LC	Vulnerable
Poecilimon cretensis	LNT	NT/LC	Least Concern
Stenopterus creticus	LNT	NT/LC	Near Threatened
Trichoferus bergeri	PT	VU	Critically Endangered
Isotomus jarmilae	PT	VU	Endangered
Pedostrangalia ariadne	PT	VU	Vulnerable
Pseudosphegesthes bergeri	LT	EN	Endangered
Stictoleptura slamai	LT	EN	Data Deficient
Boyeria cretensis	LNT	NT/LC	Endangered
Macrothele cretica	LNT	NT/LC	Data Deficient
Coenagrion intermedium	LNT	NT/LC	Endangered
Anaglyptus praecellens	LT	EN	Endangered
Purpuricenus schurmanni	PT	VU	Data Deficient
Eupholidoptera cretica	LT	EN	Vulnerable
Eupholidoptera giuliae	LNT	NT/LC	Vulnerable
Eupholidoptera pallipes	LT	EN	Vulnerable
Orchamus raulinii	LNT	NT/LC	Vulnerable
Eupholidoptera jacquelinae	LT	EN	Vulnerable
Ovaliptila lindbergi	LNT	NT/LC	Least Concern
Eupholidoptera astyla	LNT	NT/LC	Endangered
Rhacocleis derrai	LNT	NT/LC	Vulnerable
Dolichopoda paraskevi	PT	VU	Near Threatened
Eupholidoptera forcipata	LT	EN	Vulnerable
Eupholidoptera gemellata	LT	CR	Vulnerable
Eupholidoptera feri	LT	CR	Critically Endangered
Eupholidoptera mariannae	PT	VU	Vulnerable
Eupholidoptera annamariae	PT	VU	Vulnerable
